ds,yhat,yhat_lower,yhat_upper
2021-03-02,297976.2859657649,202276.04227986402,400766.6189421604
2021-03-03,301446.05704459595,207902.6234313445,401768.1149986675
2021-03-04,311720.41508627863,209951.47496578872,420765.5034720271
2021-03-05,323035.34508054145,232409.7064811051,420882.92962025426
2021-03-06,335811.09576673707,241281.21619586996,435771.12167382054
2021-03-07,349568.6613059226,241579.9358880327,451102.8552914663
2021-03-08,364409.16355882736,271574.79538731277,463232.4123211905
2021-03-09,380162.07575964154,288572.5926562154,488935.6916885507
2021-03-10,396795.03325802286,300057.7210939137,498513.14458738925
2021-03-11,414121.22206177266,318603.5050402543,518947.40543598315
2021-03-12,431809.221397247,330083.6318764616,534333.6160695703
2021-03-13,450217.9329263071,355007.8052411336,550011.3009002751
2021-03-14,468669.925957403,375736.77216303546,564352.8196402267
2021-03-15,487183.6070815222,381614.6547144705,589880.4273005977
2021-03-16,505481.85073405586,407019.4410970954,607653.4752846675
2021-03-17,523470.4496945751,415129.75578430487,620557.2704172272
2021-03-18,540901.7091352958,449197.2028171965,640487.050422289
2021-03-19,557389.4089401321,458892.57130805415,656900.6500428538
2021-03-20,573364.7210443821,480053.6235413151,665816.4446065003
2021-03-21,588100.1852377264,472109.59026751097,694014.341883242
2021-03-22,601691.758566094,509478.988237024,709752.962338681
2021-03-23,613924.5229759908,518314.0007989836,708108.1863257791
2021-03-24,624816.0972850691,520062.39416466124,723494.7270627404
2021-03-25,634232.4966798363,537522.7161268695,729223.1497064494
2021-03-26,641904.1104824108,539401.8067294671,741629.4721203344
2021-03-27,648498.4448007464,552170.0839977987,750760.5273225807
2021-03-28,653390.6186946722,555271.8651281343,753550.4480417937
2021-03-29,656891.348966829,560530.5867326825,758676.724904866
2021-03-30,658966.0685133536,561791.2318270874,755577.1072841324
2021-03-31,659840.0190577663,567518.7883818112,761859.8568520864
2021-04-01,659563.5809348508,557260.268478882,752802.1715493292
2021-04-02,658027.0456123645,556113.0069089718,752278.8272083187
2021-04-03,656148.6124982634,556160.5106261672,758036.2074494467
2021-04-04,653390.5425090527,551420.2693718664,749564.3410717497
2021-04-05,650232.9636021727,550235.7730959653,751355.0707815897
2021-04-06,646747.0534676813,543997.827471715,741864.9393322944
2021-04-07,643263.2337230897,549352.101585052,735368.755544554
2021-04-08,639888.1349010877,536218.4670065534,740026.1725763392
2021-04-09,637030.1452256716,542734.8065733383,736824.6799850891
2021-04-10,635161.9353199278,538921.0500171819,733853.9032747534
2021-04-11,633648.9351710343,536603.2532224349,735332.9993797853
2021-04-12,632947.2763191877,535006.4854534662,730078.4349317611
2021-04-13,633033.9749313173,533299.5412096402,733490.3199120251
2021-04-14,634144.82875518,536181.604074433,732038.3434422989
2021-04-15,636246.3011683057,524976.5971123687,737000.5810444051
2021-04-16,639057.8713358573,538087.627041047,742928.3627660198
2021-04-17,643490.9220904724,536510.5695122582,743532.0131177421
2021-04-18,648651.3388016646,551367.1890368223,744873.324556792
2021-04-19,654835.4494273016,555097.8454099454,753091.835528912
2021-04-20,661813.9164053601,569468.9811518525,755103.0952041781
2021-04-21,669644.6767627097,564725.9265445538,767115.1092631
2021-04-22,678100.881577931,582335.1569898144,780348.7060328887
2021-04-23,686701.4707767209,587915.417942886,791554.4604165817
2021-04-24,696281.4419249067,596378.8028934709,794442.1471087993
2021-04-25,705732.970205144,605545.357468742,808997.2376805474
2021-04-26,715269.7166514632,610072.0460754763,815856.7538836475
2021-04-27,724562.2800921255,626741.6095310932,825523.677246218
2021-04-28,733623.2362089178,636012.0294831629,829756.9861798083
2021-04-29,742187.4729934356,645620.7736013434,844591.2631638605
2021-04-30,749746.7167928991,661091.4763943454,852139.5154195064
2021-05-01,757246.4141288408,651706.5450318869,847378.360081578
2021-05-02,763560.2446970489,661950.7793432685,858576.7843450849
2021-05-03,769017.4547978366,678340.1949552351,869058.0698961671
2021-05-04,773384.4635107467,677296.4501926656,871904.6154832963
