ds,yhat,yhat_lower,yhat_upper,Country
2020-06-28,14095.920953324561,6487.324099810037,21193.2290914998,India
2020-06-29,14655.714462176385,6612.961215367138,21868.132065503374,India
2020-06-30,15243.487069963867,7738.67444373872,22507.4673952085,India
2020-07-01,15908.980496220207,7914.082020531892,23943.77758563436,India
2020-07-02,16595.73403633679,8985.55512494421,24236.33490653038,India
2020-07-03,17308.301301355626,9957.023618758732,25297.113411858838,India
2020-07-04,18163.469155045805,10645.109639954639,25302.175801866288,India
2020-07-05,19049.977119544918,11435.195425977392,26568.86174304878,India
2020-07-06,19983.05572765042,12472.4990277986,27795.80136676218,India
2020-07-07,20957.492425494773,13423.758789602614,28592.606216342323,India
2020-07-08,22030.20483524117,13946.404557880634,30194.04267758736,India
2020-07-09,23122.5364160114,15394.244885975293,30835.753486236044,India
2020-07-10,24233.872593603613,16039.659041231234,32133.987086574314,India
2020-07-11,25502.19198799241,18292.098233886558,33395.68365383777,India
2020-07-12,26781.132661295116,19144.039049739604,34573.00549464243,India
2020-07-13,28082.65781782686,20091.920838645976,35933.9753426488,India
2020-07-14,29393.582283424847,21315.394439056352,36774.478218397715,India
2020-07-15,30776.3206036692,22524.734664503176,38497.86778388144,India
2020-07-16,32129.166913832185,24616.15146802653,39186.09110010531,India
2020-07-17,33446.40311066762,25904.586911681716,41138.75303823652,India
2020-07-18,34888.254395837546,27472.43599226347,42785.558413162566,India
2020-07-19,36275.35037964049,27967.247858185532,44279.759403911776,India
2020-07-20,37619.53935441069,30120.35877146304,45589.92760271971,India
2020-07-21,38903.8677357292,31970.29226097112,46402.73709727964,India
2020-07-22,40201.46530738166,32485.4534816657,47347.080343336915,India
2020-07-23,41393.74119258637,34324.889819499534,49182.388834261656,India
2020-07-24,42912.690395553116,35853.65754550872,50530.915030468146,India
2020-07-25,44518.83255016612,36889.0857797412,52096.75456170387,India
2020-07-26,46004.09709679253,37681.986787762304,54549.1616937323,India
2020-07-27,47386.01649883188,39938.967991651065,55190.96483468944,India
2020-07-28,48649.33258008003,41216.94632371279,56063.52110570451,India
2020-07-29,49889.00752585333,42537.654915168896,57667.75501767788,India
2020-07-30,50969.63862686868,43445.82703974429,58135.43959016285,India
2020-07-31,51894.58780194839,44416.79395598579,59637.09037619643,India
2020-08-01,52906.68525933152,45351.49487081983,60200.18652316786,India
2020-08-02,53766.7840854725,46118.095121317325,61623.49860316743,India
2020-08-03,54510.16924815671,46976.27215403543,61730.442468110436,India
2020-08-04,55132.63160714477,47821.28468596037,62522.90690482932,India
2020-08-05,55760.35467732557,48574.93266474353,63464.65493046852,India
2020-08-06,56245.495465723456,48452.60423429517,63561.830881129834,India
2020-08-07,56604.83263304299,49178.83364979175,64454.028688932136,India
2020-08-08,57134.11720326269,49270.85436727635,64635.11360985428,India
2020-08-09,57561.66499362611,49421.481793294595,65307.03556045638,India
